,track_name,track_id,artist_name,artist_id,album_name,album_id,popularity,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
0,Call On Me (feat. Georgia Ku),3pBv3LfvfPft2TqHleqKHo,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Call On Me (feat. Georgia Ku),5QMT9mIOJDWUfoDZwUKYvc,70,Happy,0.662,0.794,6,-4.239,1,0.0533,0.171,0.0,0.0883,0.641,104.951,audio_features,192000,4
1,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),2LxdNADWier3MKTei8FbOY,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),7rE2qU0GsiIiNd4VPupV3B,74,Happy,0.686,0.892,10,-3.186,0,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,audio_features,157206,4
2,Another Life (feat. FLETCHER & Josh Golden),3ng7epefERNazaZkkbwLdq,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,Another Life,5NUs7V7ETbYhyArrEGxyPr,67,Happy,0.648,0.724,0,-5.189,1,0.0263,0.0198,0.0,0.15,0.382,125.014,audio_features,162954,4
3,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo,23fqKkggKUBHNkbKtXEls4,Dancing Feet (feat. DNCE),2ox5UMCeda9P21urAcoXdt,82,Happy,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,audio_features,215203,4
4,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo,23fqKkggKUBHNkbKtXEls4,Dancing Feet (feat. DNCE),2ox5UMCeda9P21urAcoXdt,82,Happy,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,audio_features,215203,4
5,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo,23fqKkggKUBHNkbKtXEls4,Dancing Feet (feat. DNCE),2ox5UMCeda9P21urAcoXdt,82,Happy,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,audio_features,215203,4
6,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,Kygo,23fqKkggKUBHNkbKtXEls4,Dancing Feet (feat. DNCE),2ox5UMCeda9P21urAcoXdt,82,Happy,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,audio_features,215203,4
7,Antibodies - LP Giobbi Remix,2BqIdDEwf8bHH0JuwS9j4O,Tensnake,75nC6MXUalYZSOd7OfNkwq,Antibodies (LP Giobbi Remix),6ZK56YnbQEZkXoVAjLhqMu,6,Happy,0.61,0.765,3,-4.914,1,0.172,0.175,1.05e-06,0.0914,0.243,125.028,audio_features,312226,4
8,Hear Me Say,7dk9EBvTbbKBbFxjCAJpwK,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Hear Me Say,0mTHF0Grl8yVxVZHAMZn9V,71,Happy,0.697,0.836,5,-5.005,1,0.0437,0.133,4.46e-06,0.0754,0.631,121.977,audio_features,190772,4
9,Reaching Out,7KTcpv7wPJ4r6lR5SLzurh,Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,Reaching Out,1fI0NsucLsQJLLzi6fDnpA,58,Happy,0.782,0.748,0,-4.32,1,0.0523,0.0629,0.0,0.1,0.571,123.937,audio_features,134584,4
10,Those Eyes,4KqA0GwEKbc96WyfIZn3SV,ARTY,1rSGNXhhYuWoq9BEz5DZGO,Those Eyes,58RPXRvxMszS1tfbeBjht0,67,Happy,0.727,0.822,5,-4.481,0,0.0471,0.0698,0.000175,0.408,0.855,118.092,audio_features,162787,4
11,Take Me To The Sunshine (feat. BullySongs),4peF3yGZAZfeOFDahi6Ig5,Matoma,4YXycRbyyAE0wozTk7QMEq,Take Me To The Sunshine (feat. BullySongs),20AY41HrcfdjRmHSpLLSgd,60,Happy,0.686,0.814,6,-6.122,0,0.036,0.00896,0.000196,0.187,0.48,123.002,audio_features,177561,4
